ACCT,BUDGET,COST TO DATE,COMMITMENTS,TIPO,REF,GEN_ACCT,Etapa,VARIANCE
2501-008,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2501-009,39200.0,39200.0,0.0,Below the Line,Detalle,,PREP,0.0
2501-010,68600.0,68600.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2501-011,14700.0,14700.0,0.0,Below the Line,Detalle,,WRAP,0.0
2502-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2502-003,24000.0,24000.0,0.0,Below the Line,Detalle,,PREP,0.0
2502-004,56000.0,56000.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2502-007,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2502-008,16000.0,16000.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
2502-011,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2502-012,15000.0,9800.0,0.0,Below the Line,Detalle,,2nd Unit,5200.0
2508-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2508-003,52500.0,50500.0,0.0,Below the Line,Detalle,,SHOOT,2000.0
2508-006,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2508-007,50000.0,17340.75,0.0,Below the Line,Detalle,,ALL SHOW,32659.25
2585-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2585-003,85000.0,87729.117,0.0,Below the Line,Detalle,,ALL SHOW,-2729.1169999999984
2594-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2594-003,310000.0,469634.524,0.0,Below the Line,Detalle,,ALL SHOW,-159634.52399999998
2598-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2598-003,40000.0,6740.63,0.0,Below the Line,Detalle,,ALL SHOW,33259.37
2601-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2601-003,47500.0,63598.01,0.0,Below the Line,Detalle,,SHOOT,-16098.010000000002
2601-006,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2601-007,14400.0,19280.239999999998,0.0,Below the Line,Detalle,,SHOOT,-4880.239999999998
2602-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2602-003,45000.0,45000.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2602-004,36000.0,51800.0,0.0,Below the Line,Detalle,,SHOOT,-15800.0
2602-005,96000.0,96000.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2602-006,67200.0,67200.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2602-007,24000.0,24000.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2602-008,16000.0,16000.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2602-009,12000.0,28066.87,0.0,Below the Line,Detalle,,SHOOT,-16066.869999999999
2602-010,9500.0,9500.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2602-011,14000.0,14271.12,0.0,Below the Line,Detalle,,SHOOT,-271.1200000000008
2602-012,12000.0,0.0,0.0,Below the Line,Detalle,,SHOOT,12000.0
2602-013,12000.0,12000.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2602-014,14400.0,14400.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2602-015,12000.0,24000.0,0.0,Below the Line,Detalle,,SHOOT,-12000.0
2602-016,25200.0,25200.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2602-017,24000.0,0.0,0.0,Below the Line,Detalle,,SHOOT,24000.0
2602-018,56000.0,0.0,0.0,Below the Line,Detalle,,SHOOT,56000.0
2602-019,48000.0,72234.49,0.0,Below the Line,Detalle,,SHOOT,-24234.490000000005
2602-020,70000.0,0.0,0.0,Below the Line,Detalle,,SHOOT,70000.0
2602-021,33600.0,48987.22,0.0,Below the Line,Detalle,,SHOOT,-15387.220000000001
2602-022,34000.0,102694.05,0.0,Below the Line,Detalle,,SHOOT,-68694.05
2602-023,0.0,55000.0,0.0,Below the Line,Detalle,,SHOOT,-55000.0
2621-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2621-003,10000.0,10000.0,0.0,Below the Line,Detalle,,PREP,0.0
2621-004,53600.0,88000.0,0.0,Below the Line,Detalle,,SHOOT,-34400.0
2623-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2623-003,30000.0,58120.0,0.0,Below the Line,Detalle,,SHOOT,-28120.0
